,tag_total,date
0,"['#출처_여성시대아침공작님', '#일단저장', '#슼슼', '#파이브가이즈', '#FIVEGUYS', '#햄버거', '#미국대버거']",2021-08-29T06:00:54.000Z
1,"['#goldenbrownfukuoka', '#福岡ランチ', '#福岡カフェ', '#福岡グルメ', '#天神ランチ', '#天神カフェ', '#天神グルメ', '#福岡スウィーツ', '#天神スウィーツ', '#후쿠오카', '#카페스타그램', '#디저트카페', '#카페투어', '#후쿠오카카페', '#福冈', '#ハンバーガー', '#humburger', '#burger', '#후쿠오카여행', '#후쿠오카맛집', '#福冈', '#福冈美食', '#福冈甜点', '#福冈咖啡馆', '#햄버거', '#とり田', '#水炊き', '#博多水炊き']",2021-08-28T00:41:07.000Z
2,"['#셀러브리티버거', '#강남맛집', '#한티맛집', '#대치맛집', '#대치동맛집', '#햄버거', '#수제버거', '#버거', '#맛스타그램', '#먹팔', '#먹팔해요', '#서울맛집', '#일상', '#데일리', '#셀카', '#셀피', '#서울맛집추천', '#맞팔', '#맞팔해요', '#맞팔스타그램', '#소통', '#소통해요', '#소통스타그램', '#선팔', '#댓글', '#선팔하면맞팔', '#일상스타그램', '#데일리그램', '#좋아요반사', '#좋반테러']",2021-08-29T13:00:08.000Z
3,"['#송파구재영', '#송파구맛집', '#방이동재영', '#방이동맛집', '#햄버거재영', '#햄버거맛집', '#브로버거재영', '#브로버거', '#햄버거', '#Broburger', '#브로버거방이', '#잠실맛집', '#올림픽공원맛집', '#송파맛집', '#방이맛집', '#wine', '#酒', '#日本酒', '#맛스타그램', '#먹스타그램', '#술스타그램', '#instafood', '#foodie', '#food', '#foodstagram', '#와인', '#ワイン']",2021-08-31T02:01:51.000Z
4,"['#싸이순살세트', '#닭다리살', '#싸이순살', '#싸이버거', '#겉바속촉', '#맘스양념치킨', '#간장마늘치킨', '#간장마늘치킨', '#치파오치킨', '#후라이드치킨', '#블랙쏘이', '#블랙쏘이치킨', '#치즈뿌치', '#치즈뿌치치킨', '#순살치킨', '#치킨추천', '#치맥', '#냠냠', '#food', '#foodie', '#먹스타그램', '#먹스타', '#맛스타그램', '#야식', '#햄버거']",2021-08-24T08:00:43.000Z
5,"['#광고', '#더페이머스버거압구정점', '#압구정맛집', '#가로수길맛집', '#홍대맛집', '#페이머스버거', '#더페이머스버거', '#압구정햄버거', '#햄버거맛집', '#버거맛집', '#압수정핫플', '#홍대핫플', '#가로수길핫플']",2021-08-28T06:32:16.000Z
6,"['#제주도', '#제주', '#표선해수욕장', '#표선해비치해변', '#햄버거', '#웨이브버거', '#먹방', '#먹스타그램', '#맞팔', '#선팔', '#좋아요', '#좋아요반사', '#운동하는남자', '#골프', '#승마', '#헬스', '#등산', '#낚시', '#일상', '#취미', '#소통', '#인친', '#댕댕이', '#제주라이프', '#제주살이', '#제주여행', '#daily', '#golf', '#goodlife', '#fitness']",2021-09-06T06:31:40.000Z
7,"['#군산', '#부대찌개', '#부대', '#부대찌개', '#군산미공군기지', '#군산공항', '#햄버거']",2021-09-06T06:24:36.000Z
8,"['#청시행', '#햄버거', '#남양주버거', '#아이스아메리카노', '#사총사모임', '#언제나힘이되는언니들', '#월요일나들이', '#고마워요', '#행복', '#일상']",2021-09-06T06:22:35.000Z
9,"['#와니네', '#살', '#아들스타그램', '#꼬마남친', '#맘스타', '#지난사진', '#정신없는요즘', '#무럭무럭자라라', '#몸과마음건강히', '#햄버거', '#냠냠']",2021-09-06T06:20:29.000Z
