,tag_total,date
0,"['#우리집강아지', '#만두', '#사모예드', '#사모예드만두', '#솜사탕', '#뽀송뽀송', '#비좀그만', '#엄마힘들어', '#샤워', '#말리는데', '#시간다감', '#mandoothesamoyeddog', '#cottoncandy', '#ourdog', '#samoyed', '#nomoreshower', '#thismonth', '#pleasestopraining']",2021-09-23T23:31:17.000Z
1,"['#이제어린이', '#만두', '#개린이']",2021-09-23T23:30:56.000Z
2,"['mandoothesamoyed', '#우리집강아지', '#만두', '#사모예드', '#사모예드만두', '#솜사탕', '#뽀송뽀송', '#비좀그만', '#엄마힘들어', '#샤워', '#말리는데', '#시간다감', '#mandoothesamoyeddog', '#cottoncandy', '#ourdog', '#samoyed', '#nomoreshower', '#thismonth', '#귀엽다', '#pleasestopraining']",2021-09-23T23:30:29.000Z
3,"['#먹스타그램', '#맛스타그램', '#먹방', '#맛집', '#그릭요거트', '#과일샐러드', '#푸드스타그램', '#협찬', '#리코타치즈', '#죽집', '#팔로우', '#요리', '#커피', '#인스타그램', '#라면', '#온더테이블', '#협찬모집', '#요거트', '#불금', '#일상스타그램', '#만두', '#집밥스타그램', '#fff', '#lfl', '#푸드', '#フォローミー', '#푸드아트', '#아침', '#instafood', '#라죽']",2021-09-23T23:07:12.000Z
4,"['#백일', '#떡', '#옛날떡집', '#옛날떡방', '#만두']",2021-09-23T22:49:51.000Z
5,"['#tbt❤️', '#hodorifloripa', '#comidacoreana', '#koreanfood', '#korea', '#korean', '#deliveryfloripa', '#menudino', '#ifoodfloripa', '#kimchi', '#mandu', '#gyoza', '#guioza', '#jiaozi', '#comidasaudavel', '#santacatarina', '#만두']",2021-09-23T22:01:51.000Z
6,"['#집밥', '#저녁', '#저녁메뉴', '#짜장면', '#유니짜장', '#탕수육', '#탕수만두', '#만두', '#중국요리', '#일상', '#홈쿡', '#Food', '#Koreanfood', '#Dinner', '#Jjajangmyeon', '#Noodle', '#Dumpling', '#Tangsuyuk', '#Cooking', '#행복한우리집']",2021-09-23T20:59:49.000Z
7,"['#만두', '#만두만두만두', '#역시', '#집이', '#최고야', '#환절기', '#감기조심', '#건강', '#일상', '#집밥', '#왜쉬는날인데', '#바쁘지', '#온몸이', '#쑤시고', '#너무', '#졸리다']",2021-09-23T20:32:34.000Z
8,"['#주묘', '#酒猫', '#소금구이', '#타래구이', '#くしやき', '#쿠시야키', '#꼬치구이', '#일본식꼬치구이', '#야끼교자', '#일본식만두', '#교자', '#만두', '#손만두', '#송파구', '#삼전동', '#석촌고분역', '#이자카야', '#술집', '#혼술', '#길냥이를사랑해주세요', '#야옹', '#집사', '#일터', '#일상', '#ㅋㅋㅋ', '#강남구누른']",2021-09-23T19:33:14.000Z
9,"['#부산대술집', '#구워삶기', '#존맛', '#새우튀김', '#만두', '#치즈볶음밥', '#부산대맛집', '#구워삶기부산대점']",2021-09-23T18:17:16.000Z
10,"['#초계국수', '#초계비빔국수', '#면빨', '#왕만두', '#라이더', '#음식', '#냉반', '#뀨슐랭가이드', '#팔당초계국수', '#초계국수', '#비빔국수', '#팔당맛집', '#팔당댐', '#하남맛집', '#하남스타필드', '#맛집다니는남자', '#만두', '#팔당', '#하남', '#남양주맛집', '#남양주', '#자전거', '#국토종주', '#국도종주자전거길', '#맛집']",2021-09-23T17:07:41.000Z
11,"['#ASMR', '#咀嚼音', '#YouTube', '#ギョーザ', '#餃子', '#ぎょうざ', '#dumpling', '#饺子', '#만두', '#炒飯', '#チャーハン', '#Fried', '#볶음밥', '#炒饭', '#冷凍食品', '#bba']",2021-09-23T16:59:25.000Z
12,"['#餃子の王さま', '#餃子の王さま浅草', '#餃子', '#만두', '#もやしそば', '#浅草', '#浅草散策', '#浅草グルメ', '#음식', '#맛집', '#인스타푸드', '#푸드', '#푸드스타그램', '#먹스타그램', '#먹스타', '#맛스타그램', '#밥스타그램', '#냠냠', '#좋아요', '#좋반', '#좋아요반사', '#인친', '#일상스타그램', '#일상', '#소통', '#소통그램', '#맞팔']",2021-09-15T04:57:09.000Z
13,"['#하늘맛집', '#구름맛집', '#우리집작은방에서', '#반려견', '#강아지', '#똥강아지', '#댕댕이', '#멍멍이그램', '#댕댕이그램', '#멍뭉이', '#멍멍이', '#개딸', '#개아들', '#내소중이', '#흰둥이', '#누렁이', '#댕댕이일상', '#댕맘일상', '#일상', '#힐링', '#즐거운기운', '#행복한기운', '#좋은기운나눠요', '#비숑', '#비숑프리제', '#만두', '#말티푸', '#오뎅']",2020-09-19T06:52:21.000Z
14,"['#반려견', '#강아지', '#똥강아아지', '#댕댕이', '#멍멍이그램', '#댕댕이그램', '#멍뭉이', '#멍멍이', '#개딸', '#개아들', '#내소중이', '#흰둥이', '#누렁이', '#댕댕이일상', '#댕맘일상', '#일상', '#힐링', '#즐거운기운', '#행복한기운', '#좋은기운나눠요', '#비숑', '#비숑프리제', '#만두', '#말티푸', '#오뎅']",2020-09-18T07:18:45.000Z
15,"['#차전레츠꼬', '#뛰뛰하고', '#목욕타임', '#기다리는중', '#내똥강아지', '#내보물', '#내새끼', '#내소중이', '#반려견', '#댕댕이일상', '#말티푸', '#비숑프리제', '#오뎅', '#만두', '#댕댕이', '#댕팔', '#멍팔', '#개팔', '#힐링', '#강아지친구', '#힐링', '#맞팔', '#김포한강신도시', '#김포', '#댕맘', '#코로나사라져라', '#♥️']",2021-09-23T16:16:46.000Z
16,"['#동탄맛집투어', '#동탄맛집', '#동탄맛집추천', '#동탄맛집', '#동탄롯데백화점맛집', '#롯데백화점동탄점', '#롯데백화점동탄점맛집', '#구복만두', '#구복만두롯데백화점동탄점', '#수전포', '#쉐이젠빠오', '#동탄만두', '#만두', '#만두맛집', '#yakigyoza', '#水煎包', '#michelinguidebibgourmand', '#bibgourmand', '#michelinguide', '#michelinrestaurant']",2021-09-23T16:04:53.000Z
17,"['#오빠야네', '#첫째', '#아들', '#만두', '#골든리트리버', '#살', '#건강하자', '#♥️', '#제주', '#바람아멈추어다오', '#jeju', '#jejuisland', '#goldenretriever']",2021-09-23T15:39:31.000Z
18,"['#everydaymandoostory', '#mandoo', '#puppylove', '#puppystagram', '#puppygram', '#puppylife', '#cutenessoverload', '#cutedog', '#dailydoseofcute', '#cutedog', '#ilovemydog', '#만두', '#만두강아지', '#강아지', '#강아지일상', '#강아지그램', '#강아지스타그램', '#우리집강아지']",2021-09-23T15:25:09.000Z
